"","hospital","frequency","month","procedure","satis"
"1",1,3,7,1,4.10652685165405
"2",1,2,3,0,3.3194751739502
"3",1,4,2,0,3.41172027587891
"4",1,2,4,1,3.00402545928955
"5",1,1,3,0,3.11072015762329
"6",1,1,7,1,2.882164478302
"7",1,2,4,1,4.41025686264038
"8",1,4,1,0,2.90288519859314
"9",1,2,3,0,3.05022644996643
"10",1,2,1,0,2.43884229660034
"11",1,4,1,0,3.33346581459045
"12",1,1,4,1,2.16607713699341
"13",1,2,6,1,3.83737516403198
"14",1,3,1,0,2.7196900844574
"15",1,4,1,0,2.98635816574097
"16",1,2,4,1,4.37142324447632
"17",1,1,1,0,4.23798036575317
"18",1,2,2,0,3.18477749824524
"19",1,4,4,1,4.7208890914917
"20",1,2,6,1,4.64968824386597
"21",1,1,1,0,2.98437976837158
"22",1,3,4,1,3.51397061347961
"23",1,3,2,0,2.65636825561523
"24",1,1,2,0,2.35474801063538
"25",1,2,5,1,3.13795971870422
"26",1,2,1,0,3.8383092880249
"27",1,3,1,0,3.16294717788696
"28",1,4,2,0,3.70291328430176
"29",1,2,1,0,3.43730902671814
"30",1,2,5,1,5.09014463424683
"31",1,2,7,1,4.50484418869019
"32",1,1,1,0,3.42046523094177
"33",1,1,6,1,3.32751154899597
"34",1,4,4,1,4.37041664123535
"35",1,4,6,1,4.05014896392822
"36",1,3,3,0,2.87129402160645
"37",1,2,5,1,3.65087294578552
"38",1,4,3,0,2.85115122795105
"39",1,4,3,0,3.80705571174622
"40",1,3,5,1,3.78030514717102
"41",1,1,5,1,3.35204768180847
"42",1,2,7,1,4.76892185211182
"43",1,1,7,1,3.46586537361145
"44",1,2,1,0,2.59206461906433
"45",1,2,7,1,4.96821451187134
"46",1,1,6,1,3.32127094268799
"47",1,4,1,0,4.18661642074585
"48",1,2,1,0,3.6877281665802
"49",1,4,5,1,4.03235578536987
"50",1,1,1,0,3.93173813819885
"51",1,1,3,0,3.24474024772644
"52",1,2,3,0,2.78713393211365
"53",1,2,5,1,3.63350939750671
"54",1,1,5,1,3.57806968688965
"55",1,2,1,0,4.64676332473755
"56",1,3,6,1,3.05648517608643
"57",1,1,7,1,4.41794872283936
"58",1,1,6,1,4.19578695297241
"59",1,2,5,1,2.95885133743286
"60",1,3,7,1,4.89689922332764
"61",1,3,1,0,2.85908651351929
"62",1,1,5,1,4.73693084716797
"63",1,1,1,0,2.65500855445862
"64",1,1,1,0,4.11637496948242
"65",1,4,7,1,3.8828547000885
"66",1,1,5,1,3.18831610679626
"67",1,2,1,0,3.16166210174561
"68",1,2,6,1,3.5339207649231
"69",1,2,2,0,3.55576014518738
"70",1,3,6,1,4.06246900558472
"71",1,3,1,0,3.13443517684937
"72",1,2,6,1,4.89794921875
"73",1,2,3,0,3.76690292358398
"74",1,1,6,1,3.72279667854309
"75",1,2,3,0,3.40489840507507
"76",1,2,3,0,3.44057726860046
"77",1,3,6,1,3.14311838150024
"78",1,4,1,0,4.18426704406738
"79",1,4,5,1,5.03435087203979
"80",1,2,1,0,2.69409823417664
"81",1,2,1,0,3.98636412620544
"82",1,1,1,0,2.56744432449341
"83",1,2,1,0,2.7108256816864
"84",1,3,5,1,4.44411945343018
"85",1,1,5,1,4.55334186553955
"86",1,2,7,1,3.56342482566833
"87",1,4,1,0,2.31442046165466
"88",1,4,5,1,4.34963989257812
"89",1,2,1,0,4.32531118392944
"90",1,4,7,1,4.62014818191528
"91",1,1,6,1,3.93058252334595
"92",1,2,6,1,3.98990321159363
"93",1,2,4,1,3.99945998191833
"94",1,1,3,0,2.90613460540771
"95",1,2,5,1,4.17078065872192
"96",1,4,7,1,4.70321035385132
"97",1,3,1,0,2.81464338302612
"98",1,4,3,0,2.41186547279358
"99",1,3,2,0,2.79805016517639
"100",1,1,2,0,4.31931781768799
"101",1,4,1,0,2.46213579177856
"102",1,2,6,1,3.55827522277832
"103",1,4,7,1,5.4160361289978
"104",1,2,7,1,3.44223761558533
"105",1,1,4,1,4.38072299957275
"106",1,2,7,1,3.88453722000122
"107",1,1,2,0,3.47235250473022
"108",1,1,4,1,3.21113038063049
"109",1,2,2,0,3.07510733604431
"110",1,2,4,1,2.64949703216553
"111",1,2,2,0,3.25705099105835
"112",1,1,1,0,2.58731484413147
"113",1,4,6,1,3.89645743370056
"114",1,3,2,0,2.74363803863525
"115",1,2,1,0,4.04748821258545
"116",1,2,2,0,2.89633131027222
"117",1,2,1,0,2.56855726242065
"118",1,1,2,0,2.66641426086426
"119",1,3,3,0,1.92176520824432
"120",1,1,1,0,2.74436068534851
"121",1,1,1,0,3.32405257225037
"122",1,2,1,0,2.64758014678955
"123",1,2,3,0,3.64620637893677
"124",1,2,2,0,3.42413425445557
"125",1,1,1,0,2.02897763252258
"126",1,2,6,1,3.12535572052002
"127",1,4,4,1,4.30419731140137
"128",1,4,1,0,4.44281625747681
"129",1,1,3,0,2.44040107727051
"130",1,2,2,0,4.21312475204468
"131",1,1,7,1,3.58686852455139
"132",1,1,5,1,4.4714617729187
"133",1,4,2,0,3.41073083877563
"134",1,4,6,1,4.65553045272827
"135",1,1,1,0,3.95345425605774
"136",1,1,2,0,3.27967000007629
"137",1,3,4,1,3.79719352722168
"138",1,1,4,1,4.46020317077637
"139",1,1,3,0,4.53016901016235
"140",1,1,3,0,2.69100427627563
"141",1,2,1,0,2.41327667236328
"142",1,3,5,1,4.8103551864624
"143",1,3,1,0,3.57379198074341
"144",1,1,7,1,2.85398387908936
"145",1,2,3,0,2.66826677322388
"146",1,2,2,0,2.97837424278259
"147",1,2,1,0,4.00470352172852
"148",1,2,6,1,4.39050674438477
"149",1,1,4,1,2.79251790046692
"150",1,2,4,1,4.48668336868286
"151",1,4,3,0,2.97532749176025
"152",1,2,5,1,4.24826812744141
"153",1,4,4,1,4.61546897888184
"154",1,1,2,0,4.64192867279053
"155",1,3,3,0,3.29096508026123
"156",1,1,1,0,3.17836308479309
"157",1,1,2,0,2.70341753959656
"158",1,2,4,1,2.99066543579102
"159",1,2,2,0,2.03628873825073
"160",1,4,5,1,5.7219033241272
"161",1,4,2,0,1.9480082988739
"162",1,2,6,1,2.94969606399536
"163",1,3,4,1,3.61676955223083
"164",1,2,1,0,3.7531054019928
"165",1,2,1,0,3.91150951385498
"166",1,1,6,1,3.91749024391174
"167",1,4,6,1,5.32773637771606
"168",1,1,6,1,4.97447681427002
"169",1,1,4,1,4.16750288009644
"170",1,1,7,1,3.95174598693848
"171",1,1,3,0,4.15925073623657
"172",1,3,7,1,3.83226227760315
"173",1,1,4,1,3.47233295440674
"174",1,2,5,1,2.79881310462952
"175",1,2,3,0,3.2976496219635
"176",1,2,5,1,4.76978826522827
"177",1,2,7,1,3.74191570281982
"178",1,1,5,1,3.87606906890869
"179",1,1,7,1,2.95928359031677
"180",1,2,4,1,3.74165391921997
"181",1,2,4,1,4.98137760162354
"182",1,2,7,1,3.12156772613525
"183",1,2,7,1,3.66512537002563
"184",1,1,1,0,3.88629221916199
"185",2,1,7,1,4.61850166320801
"186",2,2,3,0,3.35034251213074
"187",2,1,1,0,4.55232620239258
"188",2,3,3,0,2.91178631782532
"189",2,3,7,1,4.23000812530518
"190",2,4,3,0,2.45240378379822
"191",2,3,4,1,3.91379308700562
"192",2,3,7,1,4.99259567260742
"193",2,4,6,1,3.39111280441284
"194",2,3,2,0,1.99441623687744
"195",2,3,6,1,3.48161888122559
"196",2,4,7,1,5.28001403808594
"197",2,2,6,1,4.35791778564453
"198",2,3,3,0,2.68087434768677
"199",2,4,6,1,4.18673706054688
"200",2,4,6,1,5.90657472610474
"201",2,3,1,0,2.79087162017822
"202",2,4,4,1,6.16166925430298
"203",2,2,4,1,4.10563468933105
"204",2,4,2,0,3.27534770965576
"205",2,3,4,1,4.57250595092773
"206",2,4,4,1,4.52482223510742
"207",2,4,2,0,4.52075576782227
"208",2,2,7,1,1.68478620052338
"209",2,2,2,0,2.53290629386902
"210",2,1,4,1,3.86860227584839
"211",2,3,2,0,2.74623727798462
"212",2,4,4,1,4.82804679870605
"213",2,2,4,1,4.08845520019531
"214",2,4,6,1,4.26396322250366
"215",2,2,4,1,4.70673561096191
"216",2,4,2,0,3.2735276222229
"217",2,3,2,0,3.24276638031006
